WorldCup,RK,Team,PTS
1994,155,Solomon IslandsSOL,2.0
1994,156,Dominican RepublicDOM,1.0
1994,157,LibyaLBY,1.0
1994,158,Brunei DarussalamBRU,1.0
1994,159,ArmeniaARM,1.0
1994,160,NicaraguaNCA,1.0
1998,1,BrazilBRA,72.0
1998,2,GermanyGER,65.0
1998,3,Czech RepublicCZE,65.0
1998,4,MexicoMEX,61.0
1998,5,EnglandENG,60.0
1998,6,ArgentinaARG,60.0
1998,7,NorwayNOR,60.0
1998,8,YugoslaviaYUG,59.0
1998,9,ChileCHI,59.0
1998,10,ColombiaCOL,58.0
1998,11,USAUSA,58.0
1998,12,JapanJPN,58.0
1998,13,MoroccoMAR,57.0
1998,14,ItalyITA,57.0
1998,15,SpainESP,56.0
1998,16,RussiaRUS,56.0
1998,17,EgyptEGY,56.0
1998,18,FranceFRA,56.0
1998,19,CroatiaCRO,56.0
1998,20,Korea RepublicKOR,55.0
1998,21,TunisiaTUN,55.0
1998,22,RomaniaROU,55.0
1998,23,ZambiaZAM,55.0
1998,24,South AfricaRSA,55.0
1998,25,NetherlandsNED,54.0
1998,26,EcuadorECU,53.0
1998,27,DenmarkDEN,53.0
1998,28,SwedenSWE,53.0
1998,29,ParaguayPAR,52.0
1998,30,JamaicaJAM,52.0
1998,31,AustriaAUT,52.0
1998,32,AustraliaAUS,52.0
1998,33,BoliviaBOL,51.0
1998,34,Saudi ArabiaKSA,51.0
1998,35,BulgariaBUL,50.0
1998,36,BelgiumBEL,50.0
1998,37,PeruPER,50.0
1998,38,UruguayURU,50.0
1998,39,PortugalPOR,49.0
1998,40,SlovakiaSVK,49.0
1998,41,ScotlandSCO,48.0
1998,42,IR IranIRN,48.0
1998,43,KuwaitKUW,47.0
1998,44,Côte d'IvoireCIV,47.0
1998,45,LithuaniaLTU,47.0
1998,46,Republic of IrelandIRL,46.0
1998,47,IsraelISR,46.0
1998,48,Trinidad and TobagoTRI,45.0
1998,49,CameroonCMR,45.0
1998,50,ThailandTHA,45.0
1998,51,China PRCHN,45.0
1998,52,GeorgiaGEO,45.0
1998,53,TurkeyTUR,45.0
1998,54,PolandPOL,44.0
1998,55,GreeceGRE,44.0
1998,56,AngolaANG,44.0
1998,57,AlgeriaALG,43.0
1998,58,Costa RicaCRC,43.0
1998,59,United Arab EmiratesUAE,43.0
1998,60,GuineaGUI,43.0
1998,61,FinlandFIN,42.0
1998,62,HungaryHUN,42.0
1998,63,ZaireZAI,41.0
1998,64,UkraineUKR,40.0
1998,65,GhanaGHA,40.0
1998,66,MaliMLI,40.0
1998,67,Burkina FasoBFA,39.0
1998,68,El SalvadorSLV,39.0
1998,69,MozambiqueMOZ,39.0
1998,70,QatarQAT,38.0
1998,71,FYR MacedoniaMKD,38.0
1998,72,IcelandISL,37.0
1998,73,TogoTOG,37.0
1998,74,NigeriaNGA,37.0
1998,75,GuatemalaGUA,37.0
1998,76,NamibiaNAM,37.0
1998,77,CanadaCAN,36.0
1998,78,SenegalSEN,36.0
1998,79,GabonGAB,36.0
1998,80,UzbekistanUZB,36.0
1998,81,SwitzerlandSUI,36.0
1998,82,LatviaLVA,36.0
1998,83,CyprusCYP,36.0
1998,84,ZimbabweZIM,35.0
1998,85,IraqIRQ,34.0
1998,86,HondurasHON,34.0
1998,87,OmanOMA,34.0
1998,88,CubaCUB,33.0
1998,89,IndonesiaIDN,33.0
1998,90,Northern IrelandNIR,33.0
1998,91,Sierra LeoneSLE,33.0
1998,92,SyriaSYR,31.0
1998,93,KenyaKEN,31.0
1998,94,SloveniaSVN,31.0
1998,95,TanzaniaTAN,31.0
1998,96,LebanonLBN,30.0
1998,97,MalawiMWI,30.0
1998,98,LiberiaLBR,29.0
